,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,chi2,chi2,chi2,1.0,1.0,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
asynchronous,,chi2,chi2,1.0,1.0,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
cause,,,chi2,1.0,1.0,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
condition,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
negative-condition,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purpose,,,,,,chi2,chi2,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
concession,,,,,,,chi2,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
contrast,,,,,,,,chi2,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
similarity,,,,,,,,,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
conjunction,,,,,,,,,,chi2,chi2,chi2,chi2,1.0,1.0,1.0,chi2
disjunction,,,,,,,,,,,chi2,chi2,chi2,1.0,1.0,1.0,chi2
instantiation,,,,,,,,,,,,chi2,chi2,1.0,1.0,1.0,chi2
level-of-detail,,,,,,,,,,,,,chi2,1.0,1.0,1.0,chi2
equivalence,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
manner,,,,,,,,,,,,,,,1.0,1.0,1.0
exception,,,,,,,,,,,,,,,,1.0,1.0
substitution,,,,,,,,,,,,,,,,,chi2
