,synchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.4348729231584107,0.8269946147213543,0.8267181743218533,0.8245727256900415,0.5272938152352522,0.653024864107774,0.7041157079829122,0.4948358486332479,0.8246825485161947,0.5641788289022407,0.5101100952704012,0.7957817933010346,0.820520816893351,0.8263235322123779,0.778924790515503
cause,0.4348729231584107,1.0,0.5477213240763507,0.54808475188852,0.5466488897494309,0.32388356832490006,0.3928413734530784,0.43642027265534933,0.16876769873981623,0.5457084063725819,0.3395306231024913,0.2547180887499369,0.5348417906156937,0.5462806066982826,0.5462978407666651,0.5169376918928976
condition,0.8269946147213543,0.5477213240763507,1.0,0.9959822352572022,0.9929564039853025,0.6330369119621074,0.7873395848859882,0.8512981325973425,0.5694721528220045,0.9929742027646898,0.7038363095817122,0.613161043329252,0.9612992371754944,0.9886164016913946,0.9946858383090112,0.9364649512525041
negative-condition,0.8267181743218533,0.54808475188852,0.9959822352572022,1.0,0.9935304779721759,0.6327154016917045,0.7879304435574301,0.8518812174533392,0.5705225664771981,0.9939668941683779,0.7030878522531526,0.6135192269283654,0.9618759529637916,0.9891918935023635,0.9956794351552968,0.9370437394885716
purpose,0.8245727256900415,0.5466488897494309,0.9929564039853025,0.9935304779721759,1.0,0.6300241205893559,0.7850935448213748,0.8484369945847778,0.569427973862609,0.9905251520596895,0.7009832869555708,0.6122242110447622,0.9588462775445145,0.9867082327824742,0.9922340794604274,0.9340216432179744
concession,0.5272938152352522,0.32388356832490006,0.6330369119621074,0.6327154016917045,0.6300241205893559,1.0,0.5793823806333898,0.5219507798548014,0.3195239303689251,0.6300154300621689,0.39737736932972595,0.32267104690835546,0.6080574180149608,0.6264128407771758,0.6325427257427856,0.6132414598628471
contrast,0.653024864107774,0.3928413734530784,0.7873395848859882,0.7879304435574301,0.7850935448213748,0.5793823806333898,1.0,0.6751355567231576,0.42631611144376674,0.7872665003482604,0.5417684215390827,0.45045372770626213,0.7614158068015231,0.7802093132521978,0.7880020385747953,0.763301464188927
similarity,0.7041157079829122,0.43642027265534933,0.8512981325973425,0.8518812174533392,0.8484369945847778,0.5219507798548014,0.6751355567231576,1.0,0.5414217642882493,0.8511019960990166,0.6165347145999055,0.5032205440158176,0.8242663360772041,0.8456050698091809,0.8501182176706729,0.7973548638314076
conjunction,0.4948358486332479,0.16876769873981623,0.5694721528220045,0.5705225664771981,0.569427973862609,0.3195239303689251,0.42631611144376674,0.5414217642882493,1.0,0.5690108005230733,0.36888931392092417,0.2937824499028372,0.5442442423756088,0.5658987598931134,0.5704947371306758,0.5197087186799906
disjunction,0.8246825485161947,0.5457084063725819,0.9929742027646898,0.9939668941683779,0.9905251520596895,0.6300154300621689,0.7872665003482604,0.8511019960990166,0.5690108005230733,1.0,0.7013177170235121,0.6106649453207492,0.9588187427404945,0.9861760592574512,0.9922525534836657,0.9355686915127834
instantiation,0.5641788289022407,0.3395306231024913,0.7038363095817122,0.7030878522531526,0.7009832869555708,0.39737736932972595,0.5417684215390827,0.6165347145999055,0.36888931392092417,0.7013177170235121,1.0,0.5118498851106724,0.681955358739313,0.7005280621783105,0.7028633112927576,0.6534505538575924
level-of-detail,0.5101100952704012,0.2547180887499369,0.613161043329252,0.6135192269283654,0.6122242110447622,0.32267104690835546,0.45045372770626213,0.5032205440158176,0.2937824499028372,0.6106649453207492,0.5118498851106724,1.0,0.5994771993338721,0.610538939706001,0.6121834683031052,0.5741268268224637
equivalence,0.7957817933010346,0.5348417906156937,0.9612992371754944,0.9618759529637916,0.9588462775445145,0.6080574180149608,0.7614158068015231,0.8242663360772041,0.5442442423756088,0.9588187427404945,0.681955358739313,0.5994771993338721,1.0,0.9552922228531832,0.9609730590046729,0.9083291650668266
manner,0.820520816893351,0.5462806066982826,0.9886164016913946,0.9891918935023635,0.9867082327824742,0.6264128407771758,0.7802093132521978,0.8456050698091809,0.5658987598931134,0.9861760592574512,0.7005280621783105,0.610538939706001,0.9552922228531832,1.0,0.987893274126037,0.9304065613452132
exception,0.8263235322123779,0.5462978407666651,0.9946858383090112,0.9956794351552968,0.9922340794604274,0.6325427257427856,0.7880020385747953,0.8501182176706729,0.5704947371306758,0.9922525534836657,0.7028633112927576,0.6121834683031052,0.9609730590046729,0.987893274126037,1.0,0.9361278164685046
substitution,0.778924790515503,0.5169376918928976,0.9364649512525041,0.9370437394885716,0.9340216432179744,0.6132414598628471,0.763301464188927,0.7973548638314076,0.5197087186799906,0.9355686915127834,0.6534505538575924,0.5741268268224637,0.9083291650668266,0.9304065613452132,0.9361278164685046,1.0
