,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,0.10766571690743067,1.0,1.0,0.01179651156980526,1.0,1.0,1.0,1.0,0.7820338192606575,1.0,1.0,1.0,0.1580936931380007,1.0
precedence,,,1.0,chi2,chi2,0.11637149571381289,chi2,chi2,0.39793558250571825,chi2,1.0,chi2,0.6427890411465464,chi2,1.0
succession,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,,chi2,0.2626272074471183,chi2,0.050792215977460864,1.0,chi2,1.0,chi2,1.0,chi2,1.0
result,,,,,,chi2,chi2,chi2,chi2,chi2,1.0,chi2,0.004154743274434212,chi2,1.0
arg1-as-denier,,,,,,,1.0,0.4816745968079395,1.0,chi2,1.0,0.411199462269684,1.0,chi2,1.0
arg2-as-denier,,,,,,,,0.7473296834591243,1.0,chi2,1.0,chi2,1.0,chi2,1.0
contrast,,,,,,,,,1.0,chi2,1.0,0.07676889344077864,1.0,chi2,1.0
similarity,,,,,,,,,,chi2,1.0,1.0,1.0,0.06383974187270744,1.0
conjunction,,,,,,,,,,,1.0,chi2,0.007769010641428077,chi2,0.3605643372097166
disjunction,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,1.0,chi2,1.0
arg1-as-detail,,,,,,,,,,,,,,0.34935143120025813,1.0
arg2-as-detail,,,,,,,,,,,,,,,1.0
arg2-as-subst,,,,,,,,,,,,,,,
