,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,4.413907686212147e-56,0.10766571690743067,1.0,1.0,0.01179651156980526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7820338192606575,1.0,1.0,1.0,1.0,0.1580936931380007,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,0.11637149571381289,chi2,chi2,0.39793558250571825,chi2,1.0,1.0,chi2,0.6427890411465464,chi2,1.0,1.0,1.0,1.0,1.0,1.0
succession,,,4.72718024643736e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,0.2626272074471183,chi2,0.050792215977460864,1.0,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
result,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,chi2,chi2,chi2,chi2,chi2,1.0,1.0,chi2,0.004154743274434212,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,1.829734136008559e-120,1.0,0.4816745968079395,1.0,chi2,1.0,1.0,0.411199462269684,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,chi2,0.7473296834591243,1.0,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,1.7713322962024338e-205,1.0,chi2,1.0,1.0,0.07676889344077864,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
similarity,,,,,,,,,,,,,,,1.964352010416344e-68,chi2,1.0,1.0,1.0,1.0,0.06383974187270744,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2,1.0,1.0,chi2,0.007769010641428077,chi2,1.0,1.0,1.0,1.0,1.0,0.3605643372097166
disjunction,,,,,,,,,,,,,,,,,0.00015372790161414298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,1.495427236402826e-63,0.34935143120025813,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0258926637405781e-23
