,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.596660738590613e-151,chi2,1.0,0.02091175522752419,chi2,1.0,1.0,1.0,1.0,1.0,1.0,0.6316408481883613,0.04898194704185695,0.41630193557633455,1.0,chi2,1.0,1.0,0.05056483364316047,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,chi2,0.6180813566043146,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,chi2,chi2,chi2,chi2,chi2,1.0,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0
succession,,,8.429044023196419e-38,1.0,0.01219354708563716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5165759365432304,1.0,0.02884692802248216,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,chi2,chi2,chi2,chi2,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
result,,,,,chi2,1.0,1.0,1.0,1.0,0.3232897770945427,1.0,chi2,chi2,chi2,chi2,chi2,1.0,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,0.5689685855012827
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,0.00015372790161414298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,9.839599521514709e-261,chi2,0.2645852046228383,0.4067255308050024,chi2,1.0,1.0,chi2,0.642214800164874,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,chi2,chi2,0.02198109540679239,chi2,1.0,1.0,chi2,0.5899327664486259,chi2,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,0.0,0.7261478593624549,chi2,1.0,1.0,chi2,0.26569305094782086,chi2,1.0,1.0,1.0,1.0,1.0,0.3191366765354569
similarity,,,,,,,,,,,,,,,1.0157341218452664e-186,chi2,1.0,1.0,0.6294122563724207,0.5814126489797122,chi2,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2,0.3546502690238279,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,0.003398102161059349
disjunction,,,,,,,,,,,,,,,,,0.00015372790161414298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,chi2,0.4391083128158505,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,2.055437840902125e-167,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6393665243496706e-43
