,temporal,contingency,comparision,expansion
0,0.1,1e-05,1e-05,0.8
1,0.1,0.7,1e-05,0.1
2,0.1,0.1,1e-05,0.6
3,0.1,0.7,1e-05,0.1
4,0.2,0.4,1e-05,0.30000000000000004
5,0.1,0.4,1e-05,0.4
6,1e-05,0.30000000000000004,1e-05,0.7
7,1e-05,0.2,1e-05,0.7000000000000001
8,1e-05,1.0,1e-05,1e-05
9,0.1,0.2,1e-05,0.2
10,1e-05,0.5,1e-05,0.2
11,1e-05,0.2,1e-05,0.4
12,0.2,0.2,0.1,0.4
13,1e-05,0.6000000000000001,1e-05,0.3
14,1e-05,0.7999999999999999,1e-05,0.1
15,1e-05,0.2,0.3,0.3
16,1e-05,0.6,1e-05,0.4
17,1e-05,0.4,0.1,0.5
18,1e-05,0.30000000000000004,0.1,0.5
19,1e-05,1e-05,1e-05,0.8999999999999999
20,1e-05,0.5,0.1,0.4
21,0.3,0.4,0.1,0.2
22,0.1,0.1,0.1,0.7000000000000001
23,1e-05,0.7,1e-05,0.30000000000000004
24,1e-05,0.5,0.1,0.4
25,1e-05,0.2,0.1,0.7
26,1e-05,0.2,1e-05,0.8
27,1e-05,0.1,0.3,0.6
28,1e-05,0.2,0.6,0.2
29,1e-05,0.4,1e-05,0.6000000000000001
30,1e-05,0.6,0.2,0.2
31,1e-05,0.1,0.1,0.8
32,1e-05,0.7999999999999999,0.1,0.1
33,1e-05,0.7,0.1,0.2
34,1e-05,0.7,0.2,0.1
35,1e-05,0.30000000000000004,0.1,0.5
36,1e-05,0.2,1e-05,0.8
37,1e-05,0.7,0.1,0.2
38,1e-05,0.7999999999999999,0.1,0.1
39,0.1,0.4,0.2,0.2
40,1e-05,0.7,1e-05,0.30000000000000004
41,0.1,0.3,1e-05,0.5
42,1e-05,0.4,1e-05,0.5
43,0.1,0.7,1e-05,0.2
44,1e-05,0.4,1e-05,0.5
45,0.1,1e-05,0.1,0.8
46,1e-05,0.8,1e-05,0.2
47,1e-05,1e-05,1e-05,0.9999999999999999
48,1e-05,1e-05,0.1,0.8999999999999999
49,0.2,0.8,1e-05,1e-05
50,1e-05,1e-05,0.1,0.9
51,1e-05,1e-05,0.6000000000000001,0.4
52,1e-05,0.5,0.2,0.2
53,1e-05,0.1,0.6,0.3
54,1e-05,0.1,0.2,0.7000000000000001
55,1e-05,0.1,0.1,0.8
56,1e-05,0.2,0.6,1e-05
57,0.2,0.6,1e-05,0.1
58,1e-05,0.2,1e-05,0.7999999999999999
59,1e-05,0.6,0.1,0.2
60,1e-05,0.4,0.1,0.5
61,0.1,0.5,1e-05,0.4
62,1e-05,0.7,1e-05,0.3
63,1e-05,0.4,1e-05,0.6
64,1e-05,0.3,1e-05,0.7
65,1e-05,0.1,0.4,0.5
66,1e-05,0.4,1e-05,0.6
67,0.2,0.30000000000000004,1e-05,0.5
68,1e-05,0.5,1e-05,0.5
69,1e-05,1e-05,0.2,0.8
70,1e-05,0.5,0.1,0.4
71,1e-05,0.2,0.30000000000000004,0.5
72,0.1,0.1,0.5,0.30000000000000004
73,1e-05,1e-05,1e-05,0.8999999999999999
74,1e-05,0.2,1e-05,0.8
75,1e-05,0.8,1e-05,0.2
76,1e-05,1e-05,1e-05,1.0
77,1e-05,0.1,1e-05,0.8
78,0.1,0.7,0.1,0.1
79,1e-05,0.3,1e-05,0.6
80,1e-05,0.1,0.7,0.2
81,1e-05,0.7,0.2,0.1
82,1e-05,0.4,1e-05,0.6
83,0.1,0.7999999999999999,1e-05,0.1
84,0.1,0.2,1e-05,0.7
85,0.1,0.2,0.5,0.2
86,1e-05,0.2,0.4,0.4
87,1e-05,0.2,0.30000000000000004,0.5
88,1e-05,0.4,0.1,0.5
89,1e-05,0.9,1e-05,0.1
90,1e-05,0.8,1e-05,0.1
91,1e-05,0.6,0.3,0.1
92,1e-05,0.2,1e-05,0.8
93,1e-05,0.30000000000000004,0.1,0.5
94,1e-05,0.5,1e-05,0.5
95,1e-05,0.5,0.1,0.30000000000000004
96,1e-05,0.1,1e-05,0.9
97,1e-05,0.5,0.1,0.4
98,1e-05,0.5,0.30000000000000004,0.2
99,1e-05,0.4,0.2,0.4
100,1e-05,1e-05,1e-05,0.8999999999999999
101,1e-05,0.5,0.1,0.3
102,0.1,0.2,1e-05,0.7
103,1e-05,0.5,1e-05,0.30000000000000004
104,1e-05,0.2,0.2,0.5
105,1e-05,0.3,1e-05,0.5
106,1e-05,0.1,0.30000000000000004,0.6
107,1e-05,0.3,0.30000000000000004,0.30000000000000004
108,1e-05,0.6000000000000001,1e-05,0.4
109,1e-05,0.1,0.7,0.2
110,1e-05,0.2,0.2,0.5
111,1e-05,0.1,1e-05,0.9
112,1e-05,1e-05,1e-05,1.0
113,1e-05,0.6,0.1,0.2
114,1e-05,0.1,0.4,0.5
115,0.2,0.2,0.5,0.1
116,1e-05,0.4,1e-05,0.6000000000000001
117,0.2,0.3,1e-05,0.5
118,1e-05,0.30000000000000004,1e-05,0.6000000000000001
119,0.2,0.5,1e-05,0.30000000000000004
120,0.5,0.1,1e-05,0.4
121,1e-05,1e-05,0.30000000000000004,0.5
122,1e-05,0.30000000000000004,0.1,0.5
123,0.1,0.3,1e-05,0.5
124,0.2,0.30000000000000004,1e-05,0.5
125,0.1,0.6,1e-05,0.2
126,1e-05,0.5,1e-05,0.30000000000000004
127,0.2,0.3,1e-05,0.4
128,1e-05,0.3,1e-05,0.5
129,1e-05,0.2,1e-05,0.7
130,1e-05,0.2,1e-05,0.6
131,1e-05,0.1,0.4,0.2
132,0.1,0.4,1e-05,0.4
133,1e-05,0.30000000000000004,0.2,0.5
134,1e-05,0.7,1e-05,0.30000000000000004
135,1e-05,0.1,1e-05,0.8999999999999999
136,0.1,0.1,0.3,0.5
137,0.2,0.4,1e-05,0.30000000000000004
138,1e-05,0.1,0.1,0.7
139,1e-05,0.2,0.4,0.30000000000000004
140,1e-05,0.1,0.5,0.4
141,1e-05,0.5,1e-05,0.5
142,1e-05,0.3,0.1,0.4
143,1e-05,0.2,1e-05,0.6
144,1e-05,0.3,1e-05,0.6
145,0.1,0.2,1e-05,0.7
146,1e-05,1e-05,1e-05,1.0
147,1e-05,0.2,0.1,0.7
148,0.1,1e-05,0.3,0.4
149,1e-05,0.2,0.1,0.7
150,1e-05,0.30000000000000004,0.1,0.4
151,1e-05,1e-05,0.1,0.8
152,1e-05,0.7,1e-05,0.30000000000000004
153,1e-05,0.2,0.2,0.5
154,1e-05,0.5,0.2,0.2
155,1e-05,0.6,0.1,0.3
156,1e-05,1e-05,1e-05,1.0
157,0.3,1e-05,1e-05,0.6000000000000001
158,1e-05,0.7999999999999999,1e-05,0.2
159,1e-05,0.5,1e-05,0.5
160,1e-05,0.4,1e-05,0.6
161,1e-05,0.4,0.1,0.5
162,1e-05,0.4,0.2,0.4
163,1e-05,0.4,1e-05,0.4
164,0.1,0.7,1e-05,0.1
165,1e-05,0.5,1e-05,0.30000000000000004
166,1e-05,0.4,1e-05,0.5
167,1e-05,0.2,1e-05,0.6000000000000001
168,0.1,1e-05,1e-05,0.8999999999999999
169,1e-05,1e-05,0.1,0.9
170,1e-05,1e-05,0.8999999999999999,0.1
171,1e-05,0.5,0.1,0.30000000000000004
172,1e-05,0.4,0.2,0.3
173,1e-05,0.4,1e-05,0.5
174,0.1,0.2,0.1,0.5
175,1e-05,0.5,0.1,0.2
176,0.1,0.1,0.1,0.6000000000000001
177,1e-05,0.4,0.1,0.5
178,1e-05,0.2,1e-05,0.8
179,1e-05,0.5,0.1,0.4
180,1e-05,0.7,0.1,0.2
181,1e-05,0.4,1e-05,0.5
182,1e-05,0.7999999999999999,1e-05,0.2
183,0.1,0.2,0.1,0.5
184,0.1,0.5,1e-05,0.30000000000000004
185,1e-05,0.30000000000000004,0.1,0.5
186,0.1,0.7,0.1,1e-05
187,1e-05,0.5,0.1,0.30000000000000004
188,1e-05,0.4,1e-05,0.6
189,1e-05,0.1,0.5,0.30000000000000004
190,0.1,0.2,0.4,0.1
191,1e-05,0.5,0.4,0.1
192,1e-05,0.2,0.30000000000000004,0.5
193,1e-05,0.30000000000000004,1e-05,0.7000000000000001
194,1e-05,0.1,0.1,0.7000000000000001
195,0.2,0.2,1e-05,0.5
196,0.1,0.3,0.5,1e-05
197,1e-05,1e-05,0.1,0.8
198,0.1,1e-05,0.4,0.5
199,0.2,0.2,1e-05,0.5
200,0.1,0.2,1e-05,0.6
201,0.5,0.1,0.1,0.2
202,1e-05,0.2,0.5,0.1
203,1e-05,0.1,0.2,0.7
204,1e-05,0.1,1e-05,0.8999999999999999
205,1e-05,0.4,1e-05,0.6
206,1e-05,0.7,0.1,0.2
207,1e-05,1e-05,1e-05,0.8
208,1e-05,1e-05,0.7,0.2
209,1e-05,1e-05,1e-05,1.0
210,1e-05,0.5,0.1,0.4
211,1e-05,0.3,0.1,0.6
212,1e-05,0.1,1e-05,0.9
213,0.1,0.3,1e-05,0.5
214,0.3,0.1,0.3,0.3
215,0.4,0.5,1e-05,0.1
216,0.1,0.2,0.4,0.2
217,1e-05,0.2,0.30000000000000004,0.4
218,1e-05,1e-05,0.2,0.7
219,1e-05,0.5,0.1,0.4
220,1e-05,0.4,1e-05,0.6000000000000001
221,1e-05,0.30000000000000004,0.1,0.6000000000000001
222,1e-05,0.1,0.1,0.7000000000000001
223,1e-05,0.3,1e-05,0.7
224,1e-05,0.2,0.1,0.7
225,1e-05,1e-05,0.1,0.9
226,1e-05,0.5,1e-05,0.4
227,1e-05,1e-05,0.30000000000000004,0.7
228,1e-05,0.5,1e-05,0.5
229,1e-05,0.1,1e-05,0.9
230,1e-05,0.1,0.1,0.8
231,1e-05,0.5,1e-05,0.5
232,1e-05,0.30000000000000004,0.30000000000000004,0.4
233,0.1,0.3,0.2,0.4
234,1e-05,0.6000000000000001,1e-05,0.4
235,0.1,0.4,1e-05,0.5
