,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,0.9918578802701605,0.03326260089845652,0.03780287726759575,0.0,0.0,0.0,0.02865812490748136,0.01148250460699213,0.0037682459619758444,0.0016922465465397402,0.0,0.02170436416032812,0.04243273332829993,0.0,0.0,0.0,0.0
asynchronous,0.03326260089845652,0.9991453721342707,0.10568914170869226,0.0,0.0,0.0,0.06685790880956338,0.047664054296488095,0.03485384218576812,0.09538559604896224,0.0,0.07316794180879273,0.16820010945891792,0.0,0.0,0.0,0.0
cause,0.03780287726759575,0.10568914170869226,0.9996882552202992,0.0,0.0,0.0014645197009798526,0.14089139629590874,0.0938395793151338,0.07811419178851582,0.27095498554077246,0.0,0.11990937666133805,0.174144880165959,0.0,0.0,0.0,0.004535752562863829
condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0014645197009798526,0.0,0.0,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession,0.02865812490748136,0.06685790880956338,0.14089139629590874,0.0,0.0,0.0,0.9990874540290062,0.05275124086206784,0.028490649192086787,0.13032562121689317,0.0,0.06718203422950655,0.12195452740441086,0.0,0.0,0.0,0.009143120844354466
contrast,0.01148250460699213,0.047664054296488095,0.0938395793151338,0.0,0.0,0.0,0.05275124086206784,0.9970800894870654,0.005712544033227248,0.07311758399851613,0.0,0.03657721119526357,0.0727237419312972,0.0,0.0,0.0,0.002478323491668478
similarity,0.0037682459619758444,0.03485384218576812,0.07811419178851582,0.0,0.0,0.0,0.028490649192086787,0.005712544033227248,0.9936721789883269,0.09075522640394683,0.0,0.008054788093389706,0.052406717999318515,0.0,0.0,0.0,0.0
conjunction,0.0016922465465397402,0.09538559604896224,0.27095498554077246,0.0,0.0,0.0,0.13032562121689317,0.07311758399851613,0.09075522640394683,0.9996641639784296,0.00376726570898882,0.10644117451505199,0.12794595470938,0.0,0.0,0.0,0.030960931619129866
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00376726570898882,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.02170436416032812,0.07316794180879273,0.11990937666133805,0.0,0.0,0.0,0.06718203422950655,0.03657721119526357,0.008054788093389706,0.10644117451505199,0.0,0.9986586943002446,0.04824629209764386,0.0,0.0,0.0,0.004911346064504
level-of-detail,0.04243273332829993,0.16820010945891792,0.174144880165959,0.0,0.0,0.0,0.12195452740441086,0.0727237419312972,0.052406717999318515,0.12794595470938,0.0,0.04824629209764386,0.999603476194064,0.0,0.0,0.0,0.0013742758049903616
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
substitution,0.0,0.0,0.004535752562863829,0.0,0.0,0.0,0.009143120844354466,0.002478323491668478,0.0,0.030960931619129866,0.0,0.004911346064504,0.0013742758049903616,0.0,0.0,0.0,0.9642086845522372
