synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution,,
89.3,470.5,1699.9,1.1,1,2.3,490.6,193.1,105.7,1407.6,2.6,370,1098,17.9,4.3,1.5,35.9,,5991.3
1%,8%,28%,0%,0%,0%,8%,3%,2%,23%,0%,6%,18%,0%,0%,0%,1%,,
628,2053,5018,11,8,21,2401,1156,751,4962,22,2007,4343,177,42,14,291,,110585
1%,2%,5%,0%,0%,0%,2%,1%,1%,4%,0%,2%,4%,0%,0%,0%,0%,,23905
0,0.1,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0,0,0,,
0,0.1,0.7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,
0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,,
0,0.1,0.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,
0,0.2,0.4,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,,
0,0.1,0.4,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,,
0,0,0.3,0,0,0,0,0,0,0.3,0,0.1,0.3,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.4,0,0.1,0,0,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0.1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,,
0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,,
0,0.2,0.2,0,0,0,0,0.1,0,0.2,0,0,0.2,0,0,0,0,,
0,0,0.6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,,
0,0,0.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,
0,0,0.2,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,,
0,0,0.6,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,,
0,0,0.4,0,0,0,0.1,0,0,0.3,0,0.1,0.1,0,0,0,0,,
0,0,0.3,0,0,0,0,0,0.1,0.1,0,0,0.4,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0.7,0,0,0.2,0,0,0,0,,
0,0,0.5,0,0,0,0.1,0,0,0.3,0,0.1,0,0,0,0,0,,
0,0.3,0.4,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,,
0,0.1,0.1,0,0,0,0.1,0,0,0.4,0,0.2,0.1,0,0,0,0,,
0,0,0.7,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,,
0,0,0.5,0,0,0,0.1,0,0,0.3,0,0,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0.1,0.3,0,0.2,0.2,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0.4,0,0.2,0.2,0,0,0,0,,
0,0,0.1,0,0,0,0.3,0,0,0.5,0,0,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0.6,0,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,,
0,0,0.6,0,0,0,0.1,0,0.1,0.2,0,0,0,0,0,0,0,,
0,0,0.1,0,0,0,0,0,0.1,0.8,0,0,0,0,0,0,0,,
0,0,0.8,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,,
0,0,0.7,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.7,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,,
0,0,0.3,0,0,0,0,0,0.1,0.4,0,0.1,0,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0.4,0,0.1,0.3,0,0,0,0,,
0,0,0.7,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.8,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,,
0,0.1,0.4,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,,
0,0,0.7,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,,
0,0.1,0.3,0,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.3,0,0.1,0.1,0,0,0,0,,
0,0.1,0.7,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.1,0,0.3,0.1,0,0,0,0,,
0,0.1,0,0,0,0,0.1,0,0,0.4,0,0.1,0.3,0,0,0,0,,
0,0,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0.1,0,0.8,0.1,0,0,0,0,,
0,0,0,0,0,0,0,0.1,0,0.2,0,0.5,0.2,0,0,0,0,,
0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0.1,0.2,0,0.6,0.1,0,0,0,0,,
0,0,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,0,0,,
0,0,0.5,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,,
0,0,0.1,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,,
0,0,0.1,0,0,0,0.2,0,0,0.1,0,0.2,0.4,0,0,0,0,,
0,0,0.1,0,0,0,0.1,0,0,0.8,0,0,0,0,0,0,0,,
0,0,0.2,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,,
0,0.2,0.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0.6,0,0.1,0.1,0,0,0,0,,
0,0,0.6,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.4,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,,
0,0.1,0.5,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,,
0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,,
0,0,0.3,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,,
0,0,0.1,0,0,0,0.3,0,0.1,0.5,0,0,0,0,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,,
0,0.2,0.3,0,0,0,0,0,0,0.3,0,0,0.2,0,0,0,0,,
0,0,0.5,0,0,0,0,0,0,0.3,0,0.1,0.1,0,0,0,0,,
0,0,0,0,0,0,0,0.2,0,0.3,0,0.3,0.2,0,0,0,0,,
0,0,0.5,0,0,0,0.1,0,0,0.3,0,0,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0.2,0,0.1,0.4,0,0,0.1,0,0,0,0,,
0,0.1,0.1,0,0,0,0.4,0.1,0,0.2,0,0.1,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,0.7,0,0.1,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0,0,0,0.4,0,0,0.4,0,0,0,0,,
0,0,0.8,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
0,0,0.1,0,0,0,0,0,0,0.1,0,0.4,0.3,0,0,0,0,,
0,0.1,0.7,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,,
0,0,0.3,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,,
0,0,0.1,0,0,0,0.7,0,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.7,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,,
0,0,0.4,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,,
0,0.1,0.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,
0,0.1,0.2,0,0,0,0,0,0,0.6,0,0.1,0,0,0,0,0,,
0,0.1,0.2,0,0,0,0.4,0.1,0,0.1,0,0,0.1,0,0,0,0,,
0,0,0.2,0,0,0,0.3,0.1,0,0.1,0,0,0.3,0,0,0,0,,
