,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,,chi2,chi2,1.0,0.13102398867442702,0.1739004560983362,1.0,chi2,chi2,1.0,chi2,1.0
reason,,,,chi2,1.0,0.27864318349024014,0.6326358562396489,1.0,chi2,0.11838659443341928,1.0,chi2,1.0
result,,,,,0.15524964516311243,chi2,chi2,0.37109391968695593,chi2,chi2,1.0,chi2,1.0
arg1-as-denier,,,,,,1.0,1.0,1.0,0.15154352898765855,1.0,1.0,0.6251153445958477,1.0
arg2-as-denier,,,,,,,1.0,1.0,chi2,0.2708286786640659,1.0,chi2,1.0
contrast,,,,,,,,1.0,chi2,0.6293795142304104,1.0,0.032291352515754566,1.0
similarity,,,,,,,,,0.3518008628739521,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,chi2,1.0,chi2,1.0
arg2-as-instance,,,,,,,,,,,1.0,chi2,1.0
arg1-as-detail,,,,,,,,,,,,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,1.0
arg2-as-subst,,,,,,,,,,,,,
