,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
asynchronous,,chi2_used,chi2_used,1.0,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
cause,,,chi2_used,1.0,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
condition,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
negative-condition,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purpose,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
concession,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
contrast,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
similarity,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
conjunction,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
disjunction,,,,,,,,,,,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
instantiation,,,,,,,,,,,,chi2_used,chi2_used,1.0,1.0,1.0,chi2_used
level-of-detail,,,,,,,,,,,,,chi2_used,1.0,1.0,1.0,chi2_used
equivalence,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
manner,,,,,,,,,,,,,,,1.0,1.0,1.0
exception,,,,,,,,,,,,,,,,1.0,1.0
substitution,,,,,,,,,,,,,,,,,chi2_used
