,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,0.9971119848411392,0.1538558377964182,0.07628754244627246,0.0,0.0,0.0,0.03959776184792531,0.035817211736460706,0.020699904915781234,0.005587164578885407,0.0,0.05939677172235139,0.0753748987499568,0.0,0.0,0.0,0.0030541175608029556
asynchronous+++,0.1538558377964182,0.9994295144742834,0.07077946170757263,0.0,0.0,0.0,0.06928091531044543,0.056444192529451494,0.052213360190322175,0.0847630819311211,0.0,0.10218668054368625,0.2156001506168894,0.0,0.0,0.0,0.0036488661726226503
cause+++,0.07628754244627246,0.07077946170757263,0.9996818802097311,0.0,0.0,0.0,0.07351949186540474,0.10372232097961272,0.1149518224584552,0.22203237888667146,0.0,0.09707821713474593,0.09925086199264617,0.005653249531463586,0.0,0.0023092884883604446,0.038183130956053
condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.7499231124096569,0.0,0.003725155235565351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0,0.49992312423124224,0.010882984284335482,0.0,0.0,0.0007735008864178252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession+++,0.03959776184792531,0.06928091531044543,0.07351949186540474,0.0,0.003725155235565351,0.010882984284335482,0.99945570191777,0.10393922348464832,0.05547122572290501,0.10202713484850152,0.0,0.10589546283806697,0.12204859002580096,0.0,0.0,0.0,0.005715133425793681
contrast+++,0.035817211736460706,0.056444192529451494,0.10372232097961272,0.0,0.0,0.0,0.10393922348464832,0.9986060180589772,0.006330746388361166,0.06934648887856569,0.0,0.03842091776834208,0.06527597202578263,0.0,0.0,0.0,0.08581196753314559
similarity+++,0.020699904915781234,0.052213360190322175,0.1149518224584552,0.0,0.0,0.0,0.05547122572290501,0.006330746388361166,0.9972892444888943,0.10168806415772004,0.0,0.003912149867724113,0.05296222543072987,0.0,0.0,0.0,0.008969845684208945
conjunction+++,0.005587164578885407,0.0847630819311211,0.22203237888667146,0.0,0.0,0.0007735008864178252,0.10202713484850152,0.06934648887856569,0.10168806415772004,0.9996913477734809,0.007691621635678357,0.08681967700775034,0.0672785937620531,0.009879580731341034,0.0007735008864178253,0.0007735008864178253,0.03865622894832155
disjunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007691621635678357,0.7499231124096569,0.0,0.006287591213232763,0.0,0.0,0.0,0.0
instantiation+++,0.05939677172235139,0.10218668054368625,0.09707821713474593,0.0,0.0,0.0,0.10589546283806697,0.03842091776834208,0.003912149867724113,0.08681967700775034,0.0,0.9993015641098653,0.13347454620687935,0.0,0.0,0.0,0.023289562512412335
level-of-detail+++,0.0753748987499568,0.2156001506168894,0.09925086199264617,0.0,0.0,0.0,0.12204859002580096,0.06527597202578263,0.05296222543072987,0.0672785937620531,0.006287591213232763,0.13347454620687935,0.9996859156969726,0.0,0.0018206480908080998,0.0018206480908080998,0.012254801307417329
equivalence,0.0,0.0,0.005653249531463586,0.0,0.0,0.0,0.0,0.0,0.0,0.009879580731341034,0.0,0.0,0.0,0.7499231124096569,0.0,0.0,0.0
manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007735008864178253,0.0,0.0,0.0018206480908080998,0.0,0.49992312423124224,0.0,0.0
exception,0.0,0.0,0.0023092884883604446,0.0,0.0,0.0,0.0,0.0,0.0,0.0007735008864178253,0.0,0.0,0.0018206480908080998,0.0,0.0,0.49992312423124224,0.0
substitution,0.0030541175608029556,0.0036488661726226503,0.038183130956053,0.0,0.0,0.0,0.005715133425793681,0.08581196753314559,0.008969845684208945,0.03865622894832155,0.0,0.023289562512412335,0.012254801307417329,0.0,0.0,0.0,0.9888114895080838
